title,location,category,price_per_share,expected_return,total_valuation,total_shares,shares_sold,shares_available,shares_sold_percentage,about_property,highlight_1,highlight_2,highlight_3,picture_url
Vista Eco-Friendly Apartments,"Phoenix, AZ",Residential,$85,10.5%,$1.70M,20000,8240,11760,41.2%,Net-zero energy residential multi-family apartment community with integrated solar roof matrices and water recycling infrastructure.,Energy Star certified green build,Substantially reduced asset operational costs,Strong localized millennial urban rental appeal,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?q=80&w=600&auto=format&fit=crop
Emerald Office Park,"Atlanta, GA",Commercial,$80,9.0%,$2.00M,25000,16500,8500,66.0%,Class-A office complex across three interconnected buildings on the waterfront. Fully leased to Fortune 500 tech and finance tenants with triple-net leases through 2029.,Triple-net leases to 2029,LEED Gold certified,Recent $2M renovation,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop
Pinnacle Tower Residences,"Denver, CO",Residential,$100,9.8%,$1.00M,10000,3229,6771,32.3%,Luxury high-rise residential multi-family building in prime downtown core with premium tenant amenities and strong historical value appreciation.,Prime metropolitan location,Full amenity package including rooftop pool,High historic historical occupancy rates,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?q=80&w=600&auto=format&fit=crop
Crestview Logistics Hub,"Tampa, FL",Industrial,$120,9.2%,$6.00M,50000,12100,37900,24.2%,High-throughput fulfillment center and distribution warehouse located near major transit corridors with automated cross-dock capabilities.,Class-A distribution facility,Direct highway and air rail access,Long-term corporate tenant lease,https://images.unsplash.com/photo-1586528116311-ad8dd3c8310d?q=80&w=600&auto=format&fit=crop
Grandview Resort & Spa,"Atlanta, GA",Hospitality,$250,7.0%,$10.00M,40000,25880,14120,64.7%,"Oceanfront luxury beach resort and wellness spa center with multiple pools, private beach access, and strong repeat corporate guest base.",Oceanfront prime property placement,Award-winning dynamic spa facility,Strong repeat guest booking profile,https://images.unsplash.com/photo-1502784444187-359ac186c5bb?q=80&w=600&auto=format&fit=crop
Highland Senior Living Campus,"San Francisco, CA",Residential,$250,8.4%,$3.75M,15000,2745,12255,18.3%,"State-of-the-art modern assisted living facility with specialized medical care wings, high rental demand, and long-term stable care contract agreements.",Strong demographic tailwinds,Long-term operating contracts,Newly expanded medical wing,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?q=80&w=600&auto=format&fit=crop
Pinnacle Resort & Spa,"Miami, FL",Hospitality,$120,9.0%,$6.00M,50000,28399,21601,56.8%,"Oceanfront luxury beach resort and wellness spa center with multiple pools, private beach access, and strong repeat corporate guest base.",Oceanfront prime property placement,Award-winning dynamic spa facility,Strong repeat guest booking profile,https://images.unsplash.com/photo-1502784444187-359ac186c5bb?q=80&w=600&auto=format&fit=crop
Apex Eco-Friendly Apartments,"Seattle, WA",Residential,$120,8.9%,$1.80M,15000,9600,5400,64.0%,Net-zero energy residential multi-family apartment community with integrated solar roof matrices and water recycling infrastructure.,Energy Star certified green build,Substantially reduced asset operational costs,Strong localized millennial urban rental appeal,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?q=80&w=600&auto=format&fit=crop
Foundry Mixed-Use Plaza,"Miami, FL",Commercial,$100,7.8%,$5.00M,50000,25800,24200,51.6%,"Premium multi-tenant commercial and retail plaza featuring high foot traffic, strong anchor tenants, and stable historical occupancy rates.",High occupancy anchor tenants,Triple-net leases,Recent modern exterior facade renovation,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop
Emerald Mixed-Use Plaza,"San Francisco, CA",Commercial,$60,9.2%,$1.50M,25000,16274,8726,65.1%,"Premium multi-tenant commercial and retail plaza featuring high foot traffic, strong anchor tenants, and stable historical occupancy rates.",High occupancy anchor tenants,Triple-net leases,Recent modern exterior facade renovation,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop
Pinnacle Innovation Tech Center,"Tampa, FL",Commercial,$120,10.2%,$6.00M,50000,42650,7350,85.3%,"Advanced technological campus featuring dedicated cleanrooms, hybrid lab spaces, and corporate green workspace structures.",Flexible lab and R&D layout designs,Subsidized localized energy grid infrastructure,Highly-educated local labor pool market,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop
Magnolia Innovation Tech Center,"Atlanta, GA",Commercial,$120,9.2%,$1.80M,15000,12089,2911,80.6%,"Advanced technological campus featuring dedicated cleanrooms, hybrid lab spaces, and corporate green workspace structures.",Flexible lab and R&D layout designs,Subsidized localized energy grid infrastructure,Highly-educated local labor pool market,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop
Foundry Office Park,"Phoenix, AZ",Commercial,$120,10.3%,$2.40M,20000,8920,11080,44.6%,Class-A office complex across three interconnected buildings on the waterfront. Fully leased to Fortune 500 tech and finance tenants with triple-net leases through 2029.,Triple-net leases to 2029,LEED Gold certified,Recent $2M renovation,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop
Summit Logistics Hub,"Tampa, FL",Industrial,$90,11.9%,$0.90M,10000,1750,8250,17.5%,High-throughput fulfillment center and distribution warehouse located near major transit corridors with automated cross-dock capabilities.,Class-A distribution facility,Direct highway and air rail access,Long-term corporate tenant lease,https://images.unsplash.com/photo-1586528116311-ad8dd3c8310d?q=80&w=600&auto=format&fit=crop
Horizon Logistics Hub,"Atlanta, GA",Industrial,$80,6.9%,$2.00M,25000,8700,16300,34.8%,High-throughput fulfillment center and distribution warehouse located near major transit corridors with automated cross-dock capabilities.,Class-A distribution facility,Direct highway and air rail access,Long-term corporate tenant lease,https://images.unsplash.com/photo-1586528116311-ad8dd3c8310d?q=80&w=600&auto=format&fit=crop
Crestview Resort & Spa,"Austin, TX",Hospitality,$80,11.5%,$2.00M,25000,21600,3400,86.4%,"Oceanfront luxury beach resort and wellness spa center with multiple pools, private beach access, and strong repeat corporate guest base.",Oceanfront prime property placement,Award-winning dynamic spa facility,Strong repeat guest booking profile,https://images.unsplash.com/photo-1502784444187-359ac186c5bb?q=80&w=600&auto=format&fit=crop
Apex Luxury Student Housing,"Austin, TX",Residential,$200,8.8%,$2.00M,10000,8980,1020,89.8%,High-density purpose-built student housing community located steps away from major tier-1 public university campus centers.,Fully-furnished modern student layouts,100% pre-leased ahead of academic year,Direct walking distance proximity to main campus,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?q=80&w=600&auto=format&fit=crop
Emerald Ski Resort Lodges,"Phoenix, AZ",Hospitality,$200,11.9%,$5.00M,25000,6175,18825,24.7%,Premium alpine ski-in ski-out luxury hospitality resort cabin community with peak winter seasonal rental demand and stable operator history.,High-demand destination travel market,Premium ski-in ski-out luxury access,Robust seasonal rental yields,https://images.unsplash.com/photo-1502784444187-359ac186c5bb?q=80&w=600&auto=format&fit=crop
Cypress Ski Resort Lodges,"Austin, TX",Hospitality,$100,8.5%,$5.00M,50000,38400,11600,76.8%,Premium alpine ski-in ski-out luxury hospitality resort cabin community with peak winter seasonal rental demand and stable operator history.,High-demand destination travel market,Premium ski-in ski-out luxury access,Robust seasonal rental yields,https://images.unsplash.com/photo-1502784444187-359ac186c5bb?q=80&w=600&auto=format&fit=crop
Northgate Eco-Friendly Apartments,"Boston, MA",Residential,$75,12.4%,$3.00M,40000,2960,37040,7.4%,Net-zero energy residential multi-family apartment community with integrated solar roof matrices and water recycling infrastructure.,Energy Star certified green build,Substantially reduced asset operational costs,Strong localized millennial urban rental appeal,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?q=80&w=600&auto=format&fit=crop
Silverstone Ski Resort Lodges,"Austin, TX",Hospitality,$60,10.4%,$0.90M,15000,12450,2550,83.0%,Premium alpine ski-in ski-out luxury hospitality resort cabin community with peak winter seasonal rental demand and stable operator history.,High-demand destination travel market,Premium ski-in ski-out luxury access,Robust seasonal rental yields,https://images.unsplash.com/photo-1502784444187-359ac186c5bb?q=80&w=600&auto=format&fit=crop
Sunrise Tower Residences,"Denver, CO",Residential,$100,8.5%,$2.50M,25000,8600,16400,34.4%,Luxury high-rise residential multi-family building in prime downtown core with premium tenant amenities and strong historical value appreciation.,Prime metropolitan location,Full amenity package including rooftop pool,High historic historical occupancy rates,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?q=80&w=600&auto=format&fit=crop
Cypress Senior Living Campus,"Austin, TX",Residential,$150,6.8%,$3.00M,20000,5040,14960,25.2%,"State-of-the-art modern assisted living facility with specialized medical care wings, high rental demand, and long-term stable care contract agreements.",Strong demographic tailwinds,Long-term operating contracts,Newly expanded medical wing,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?q=80&w=600&auto=format&fit=crop
Sunrise Medical Office Complex,"Austin, TX",Commercial,$80,7.7%,$0.80M,10000,6090,3910,60.9%,"Healthcare and multi-disciplinary clinic medical building fully optimized for outpatient care, diagnostic services, and private practice offices.",Steady healthcare tenant profile stability,Custom built-in specialized laboratory utilities,Adjacent to municipal hospital systems,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop
Harbor Logistics Hub,"Boston, MA",Industrial,$250,7.2%,$3.75M,15000,7035,7965,46.9%,High-throughput fulfillment center and distribution warehouse located near major transit corridors with automated cross-dock capabilities.,Class-A distribution facility,Direct highway and air rail access,Long-term corporate tenant lease,https://images.unsplash.com/photo-1586528116311-ad8dd3c8310d?q=80&w=600&auto=format&fit=crop
Pinnacle Luxury Student Housing,"Miami, FL",Residential,$75,12.3%,$0.75M,10000,5710,4290,57.1%,High-density purpose-built student housing community located steps away from major tier-1 public university campus centers.,Fully-furnished modern student layouts,100% pre-leased ahead of academic year,Direct walking distance proximity to main campus,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?q=80&w=600&auto=format&fit=crop
Silverstone Office Park,"Seattle, WA",Commercial,$100,12.1%,$1.50M,15000,1770,13230,11.8%,Class-A office complex across three interconnected buildings on the waterfront. Fully leased to Fortune 500 tech and finance tenants with triple-net leases through 2029.,Triple-net leases to 2029,LEED Gold certified,Recent $2M renovation,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop
