title,location,category,price_per_share,expected_return,total_valuation,total_shares,shares_sold,shares_available,shares_sold_percentage,about_property,highlight_1,highlight_2,highlight_3,picture_url
Emerald Office Park,"Atlanta, GA",Commercial,$80,9.0%,$2.00M,25000,16500,8500,66.0%,Class-A office complex across three interconnected buildings on the waterfront.,Triple-net leases to 2029,LEED Gold certified,Recent $2M renovation,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop&sig=74&query=commercial&uniq_id=asset_74
Pinnacle Tower Residences,"Denver, CO",Residential,$100,9.8%,$1.00M,10000,3229,6771,32.3%,Luxury high-rise residential multi-family building in prime downtown core with premium tenant amenities.,Prime metropolitan location,Full amenity package including rooftop pool,High historic historical occupancy rates,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop&sig=75&query=residential&uniq_id=asset_75
Crestview Logistics Hub,"Tampa, FL",Industrial,$120,9.2%,$6.00M,50000,12100,37900,24.2%,High-throughput fulfillment center and distribution warehouse located near major transit corridors.,Class-A distribution facility,Direct highway and air rail access,Long-term corporate tenant lease,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop&sig=76&query=industrial&uniq_id=asset_76
Grandview Resort & Spa,"Atlanta, GA",Hospitality,$250,7.0%,$10.00M,40000,25880,14120,64.7%,"Oceanfront luxury beach resort and wellness spa center with multiple pools, private beach access.",Oceanfront prime property placement,Award-winning dynamic spa facility,Strong repeat guest booking profile,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop&sig=77&query=hospitality&uniq_id=asset_77
Highland Senior Living Campus,"San Francisco, CA",Residential,$250,8.4%,$3.75M,15000,2745,12255,18.3%,State-of-the-art modern assisted living facility with specialized medical care wings.,Strong demographic tailwinds,Long-term operating contracts,Newly expanded medical wing,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop&sig=78&query=residential&uniq_id=asset_78
Pinnacle Resort & Spa,"Miami, FL",Hospitality,$120,9.0%,$6.00M,50000,28399,21601,56.8%,"Oceanfront luxury beach resort and wellness spa center with multiple pools, private beach access.",Oceanfront prime property placement,Award-winning dynamic spa facility,Strong repeat guest booking profile,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop&sig=79&query=hospitality&uniq_id=asset_79
Apex Eco-Friendly Apartments,"Seattle, WA",Residential,$120,8.9%,$1.80M,15000,9600,5400,64.0%,Net-zero energy residential multi-family apartment community with integrated solar roof matrices.,Energy Star certified green build,Substantially reduced asset operational costs,Strong localized millennial urban rental appeal,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop&sig=80&query=residential&uniq_id=asset_80
Clearwater Beach Ski Resort Lodges,"Atlanta, GA",Hospitality,$150,9.3%,$6.00M,40000,10959,29041,27.4%,Premium alpine ski-in ski-out luxury hospitality resort cabin community with peak winter seasonal rental demand.,High-demand destination travel market,Premium ski-in ski-out luxury access,Robust seasonal rental yields,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop&sig=81&query=hospitality&uniq_id=asset_81
Magnolia Senior Living Campus,"Atlanta, GA",Residential,$120,10.5%,$4.80M,40000,23440,16560,58.6%,State-of-the-art modern assisted living facility with specialized medical care wings.,Strong demographic tailwinds,Long-term operating contracts,Newly expanded medical wing,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop&sig=82&query=residential&uniq_id=asset_82
Aspen Eco-Friendly Apartments,"Seattle, WA",Residential,$150,9.2%,$2.25M,15000,10785,4215,71.9%,Net-zero energy residential multi-family apartment community with integrated solar roof matrices.,Energy Star certified green build,Substantially reduced asset operational costs,Strong localized millennial urban rental appeal,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop&sig=83&query=residential&uniq_id=asset_83
Magnolia Resort & Spa,"Denver, CO",Hospitality,$80,11.5%,$1.60M,20000,14780,5220,73.9%,"Oceanfront luxury beach resort and wellness spa center with multiple pools, private beach access.",Oceanfront prime property placement,Award-winning dynamic spa facility,Strong repeat guest booking profile,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop&sig=84&query=hospitality&uniq_id=asset_84
Cypress Innovation Tech Center,"San Francisco, CA",Commercial,$85,9.1%,$4.25M,50000,15350,34650,30.7%,"Advanced technological campus featuring dedicated cleanrooms, hybrid lab spaces.",Flexible lab and R&D layout designs,Subsidized localized energy grid infrastructure,Highly-educated local labor pool market,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop&sig=85&query=commercial&uniq_id=asset_85
Beacon Office Park,"Tampa, FL",Commercial,$150,7.0%,$2.25M,15000,3870,11130,25.8%,Class-A office complex across three interconnected buildings on the waterfront.,Triple-net leases to 2029,LEED Gold certified,Recent $2M renovation,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop&sig=86&query=commercial&uniq_id=asset_86
Harbor Eco-Friendly Apartments,"San Francisco, CA",Residential,$60,9.0%,$1.20M,20000,10759,9241,53.8%,Net-zero energy residential multi-family apartment community with integrated solar roof matrices.,Energy Star certified green build,Substantially reduced asset operational costs,Strong localized millennial urban rental appeal,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop&sig=87&query=residential&uniq_id=asset_87
Sunrise Ski Resort Lodges,"San Francisco, CA",Hospitality,$100,8.8%,$4.00M,40000,36040,3960,90.1%,Premium alpine ski-in ski-out luxury hospitality resort cabin community with peak winter seasonal rental demand.,High-demand destination travel market,Premium ski-in ski-out luxury access,Robust seasonal rental yields,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop&sig=88&query=hospitality&uniq_id=asset_88
Riverwalk Resort & Spa,"Tampa, FL",Hospitality,$85,11.0%,$2.12M,25000,13350,11650,53.4%,"Oceanfront luxury beach resort and wellness spa center with multiple pools, private beach access.",Oceanfront prime property placement,Award-winning dynamic spa facility,Strong repeat guest booking profile,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop&sig=89&query=hospitality&uniq_id=asset_89
Clearwater Beach Luxury Student Housing,"Boston, MA",Residential,$80,8.1%,$2.00M,25000,1900,23100,7.6%,High-density purpose-built student housing community located steps away from major tier-1 public university campus centers.,Fully-furnished modern student layouts,100% pre-leased ahead of academic year,Direct walking distance proximity to main campus,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop&sig=90&query=residential&uniq_id=asset_90
Quantum Shopping Centre,"Seattle, WA",Commercial,$75,11.5%,$1.12M,15000,13995,1005,93.3%,"Regional neighborhood shopping center featuring necessity-based retail, supermarket anchors.",Anchored by national grocery chain,Excellent regional vehicle traffic visibility,Favorable retail tenant mix,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop&sig=91&query=commercial&uniq_id=asset_91
Silverstone Ski Resort Lodges,"Austin, TX",Hospitality,$60,10.4%,$0.90M,15000,12450,2550,83.0%,Premium alpine ski-in ski-out luxury hospitality resort cabin community with peak winter seasonal rental demand.,High-demand destination travel market,Premium ski-in ski-out luxury access,Robust seasonal rental yields,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop&sig=92&query=hospitality&uniq_id=asset_92
Sunrise Tower Residences,"Denver, CO",Residential,$100,8.5%,$2.50M,25000,8600,16400,34.4%,Luxury high-rise residential multi-family building in prime downtown core with premium tenant amenities.,Prime metropolitan location,Full amenity package including rooftop pool,High historic historical occupancy rates,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop&sig=93&query=residential&uniq_id=asset_93
Cypress Senior Living Campus,"Austin, TX",Residential,$150,6.8%,$3.00M,20000,5040,14960,25.2%,State-of-the-art modern assisted living facility with specialized medical care wings.,Strong demographic tailwinds,Long-term operating contracts,Newly expanded medical wing,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop&sig=94&query=residential&uniq_id=asset_94
Sunrise Medical Office Complex,"Austin, TX",Commercial,$80,7.7%,$0.80M,10000,6090,3910,60.9%,Healthcare and multi-disciplinary clinic medical building fully optimized for outpatient care.,Steady healthcare tenant profile stability,Custom built-in specialized laboratory utilities,Adjacent to municipal hospital systems,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop&sig=95&query=commercial&uniq_id=asset_95
Harbor Logistics Hub,"Boston, MA",Industrial,$250,7.2%,$3.75M,15000,7035,7965,46.9%,High-throughput fulfillment center and distribution warehouse located near major transit corridors.,Class-A distribution facility,Direct highway and air rail access,Long-term corporate tenant lease,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop&sig=96&query=industrial&uniq_id=asset_96
Foundry Office Park,"Tampa, FL",Commercial,$75,10.1%,$3.75M,50000,34850,15150,69.7%,Class-A office complex across three interconnected buildings on the waterfront.,Triple-net leases to 2029,LEED Gold certified,Recent $2M renovation,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop&sig=97&query=commercial&uniq_id=asset_97
Vista Tower Residences,"Miami, FL",Residential,$200,6.7%,$4.00M,20000,11359,8641,56.8%,Luxury high-rise residential multi-family building in prime downtown core with premium tenant amenities.,Prime metropolitan location,Full amenity package including rooftop pool,High historic historical occupancy rates,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop&sig=98&query=residential&uniq_id=asset_98
Horizon Ski Resort Lodges,"San Francisco, CA",Hospitality,$60,10.1%,$3.00M,50000,13449,36551,26.9%,Premium alpine ski-in ski-out luxury hospitality resort cabin community with peak winter seasonal rental demand.,High-demand destination travel market,Premium ski-in ski-out luxury access,Robust seasonal rental yields,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop&sig=99&query=hospitality&uniq_id=asset_99
